source_crop,crop_type,lat,lon,year,season,survey_date,is_duplicate,satellite_status,valid_cropfusion_sample,rejection_reasons,primary_reason
Coconut,coconut,12.5193187,75.4708983,2020,Kharif,2020-09-22,True,NOT_AVAILABLE,False,"spatial_NO_MATCH,no_satellite,duplicate",duplicate
Coconut,coconut,12.5193644,75.4704078,2020,Kharif,2020-09-22,True,NOT_AVAILABLE,False,"spatial_NO_MATCH,no_satellite,duplicate",duplicate
Pepper (Black),pepper,12.6232101,75.4399752,2020,Kharif,2020-10-16,True,FULL,False,duplicate,duplicate
Coconut,coconut,12.6233208,75.4394759,2020,Kharif,2020-10-16,True,FULL,False,duplicate,duplicate
Coconut,coconut,12.6196612,75.4395773,2020,Kharif,2020-10-16,True,FULL,False,duplicate,duplicate
Pepper (Black),pepper,12.6197361,75.4395509,2020,Kharif,2020-10-16,True,FULL,False,duplicate,duplicate
Coconut,coconut,12.6199548,75.4395537,2020,Kharif,2020-10-16,True,FULL,False,duplicate,duplicate
Pepper (Black),pepper,12.6200458,75.4395231,2020,Kharif,2020-10-16,True,FULL,False,duplicate,duplicate
Coconut,coconut,12.6239877,75.4139007,2020,Kharif,2020-08-16,False,FULL,True,accepted,accepted
Coconut,coconut,12.6315699,75.435696,2020,Kharif,2020-08-27,True,FULL,False,duplicate,duplicate
Pepper (Black),pepper,12.6316009,75.4357191,2020,Kharif,2020-08-27,True,FULL,False,duplicate,duplicate
Coconut,coconut,12.6317026,75.4352515,2020,Kharif,2020-08-27,True,FULL,False,duplicate,duplicate
Pepper (Black),pepper,12.631695,75.4352517,2020,Kharif,2020-08-27,True,FULL,False,duplicate,duplicate
Coconut,coconut,12.6317329,75.4352844,2020,Kharif,2020-08-27,True,FULL,False,duplicate,duplicate
Coconut,coconut,12.5193895,75.4705483,2020,Kharif,2020-09-22,True,NOT_AVAILABLE,False,"spatial_NO_MATCH,no_satellite,duplicate",duplicate
Coconut,coconut,12.5193895,75.4705483,2020,Kharif,2020-09-22,True,NOT_AVAILABLE,False,"spatial_NO_MATCH,no_satellite,duplicate",duplicate
Coconut,coconut,12.5194643,75.4705745,2020,Kharif,2020-09-22,True,NOT_AVAILABLE,False,"spatial_NO_MATCH,no_satellite,duplicate",duplicate
Coconut,coconut,12.5194643,75.4705745,2020,Kharif,2020-09-22,True,NOT_AVAILABLE,False,"spatial_NO_MATCH,no_satellite,duplicate",duplicate
Coconut,coconut,12.5195323,75.4705159,2020,Kharif,2020-09-22,True,NOT_AVAILABLE,False,"spatial_NO_MATCH,no_satellite,duplicate",duplicate
Coconut,coconut,12.5194669,75.4705123,2020,Kharif,2020-09-22,True,NOT_AVAILABLE,False,"spatial_NO_MATCH,no_satellite,duplicate",duplicate
Coconut,coconut,12.5193586,75.4704932,2020,Kharif,2020-09-22,True,NOT_AVAILABLE,False,"spatial_NO_MATCH,no_satellite,duplicate",duplicate
Pepper (Black),pepper,12.6200286,75.4395471,2020,Kharif,2020-10-16,True,FULL,False,duplicate,duplicate
Coconut,coconut,12.6199213,75.4396076,2020,Kharif,2020-10-16,True,FULL,False,duplicate,duplicate
Pepper (Black),pepper,12.6198624,75.4394622,2020,Kharif,2020-10-16,True,FULL,False,duplicate,duplicate
Coconut,coconut,12.6198666,75.4394404,2020,Kharif,2020-10-16,True,FULL,False,duplicate,duplicate
