pepper_field_id,pepper_lat,pepper_lon,nearest_coconut_field_id,nearest_coconut_lat,nearest_coconut_lon,distance_m,distance_band
Puttur|PUTTURU|OLAMOGRU|SURVEYID=445241616,12.685133,75.2207456,Puttur|PUTTURU|OLAMOGRU|SURVEYID=445381802,12.6851313,75.2207454,0.19027239543199462,0-5
Puttur|PUTTURU|OLAMOGRU|SURVEYID=443478440,12.6955557,75.1996475,Puttur|PUTTURU|OLAMOGRU|SURVEYID=443478440,12.6956513,75.1996124,11.291550302492897,10-25
Puttur|PUTTURU|OLAMOGRU|SURVEYID=443478441,12.6952537,75.2002622,Puttur|PUTTURU|OLAMOGRU|SURVEYID=443478441,12.6952683,75.20025,2.094516623247843,0-5
Puttur|PUTTURU|OLAMOGRU|SURVEYID=443478442,12.6953798,75.1992838,Puttur|PUTTURU|OLAMOGRU|SURVEYID=443478442,12.695389,75.1993096,2.9797980031678186,0-5
Puttur|PUTTURU|OLAMOGRU|SURVEYID=443478443,12.6952503,75.1996609,Puttur|PUTTURU|OLAMOGRU|SURVEYID=443478443,12.6952607,75.1996291,3.638233265016838,0-5
Puttur|PUTTURU|OLAMOGRU|SURVEYID=445005410,12.6956873,75.249446,Puttur|PUTTURU|OLAMOGRU|SURVEYID=41416847,12.6956302,75.249416,7.134643021209286,5-10
Puttur|PUTTURU|OLAMOGRU|SURVEYID=445005414,12.6956582,75.2495875,Puttur|PUTTURU|OLAMOGRU|SURVEYID=445005425,12.6956552,75.2495856,0.39212000690029564,0-5
Puttur|PUTTURU|PADUVANNURU|SURVEYID=40241678,12.6271259,75.216194,Puttur|PUTTURU|PADUVANNURU|SURVEYID=40241678,12.6271459,75.2161962,2.2366734548174305,0-5
Puttur|PUTTURU|OLAMOGRU|SURVEYID=445241619,12.6851631,75.2207566,Puttur|PUTTURU|OLAMOGRU|SURVEYID=445241619,12.6851643,75.2207628,0.6856893695918573,0-5
Puttur|PUTTURU|OLAMOGRU|SURVEYID=445241641,12.685316,75.2205626,Puttur|PUTTURU|OLAMOGRU|SURVEYID=445296228,12.6853135,75.2205595,0.43631197581716546,0-5
Puttur|PUTTURU|OLAMOGRU|SURVEYID=443478448,12.6953568,75.1993908,Puttur|PUTTURU|OLAMOGRU|SURVEYID=443478448,12.6953787,75.1993721,3.169369048649626,0-5
Puttur|PUTTURU|OLAMOGRU|SURVEYID=443478449,12.6951756,75.1995612,Puttur|PUTTURU|OLAMOGRU|SURVEYID=443478449,12.6951778,75.1995598,0.2879355935445205,0-5
Puttur|PUTTURU|OLAMOGRU|SURVEYID=443478452,12.6961798,75.1992285,Puttur|PUTTURU|OLAMOGRU|SURVEYID=443478452,12.6961798,75.1992285,0.0,0-5
Puttur|PUTTURU|OLAMOGRU|SURVEYID=445005425,12.6956465,75.2495879,Puttur|PUTTURU|OLAMOGRU|SURVEYID=445005414,12.6956417,75.2495848,0.6308373412948715,0-5
Puttur|PUTTURU|OLAMOGRU|SURVEYID=445005428,12.6956874,75.249587,Puttur|PUTTURU|OLAMOGRU|SURVEYID=445005431,12.6956846,75.2495866,0.3143548030867382,0-5
Puttur|PUTTURU|OLAMOGRU|SURVEYID=445005438,12.6956648,75.2496275,Puttur|PUTTURU|OLAMOGRU|SURVEYID=445005417,12.6956695,75.2496061,2.37949496519654,0-5
Puttur|PUTTURU|OLAMOGRU|SURVEYID=445005442,12.6956865,75.2496192,Puttur|PUTTURU|OLAMOGRU|SURVEYID=445005442,12.695688,75.2496214,0.29115723477127653,0-5
